0x00400000  lw $4, 0($29): 7fffef48
0x00400304  sw $13, 0($11): 100100e0
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 1001001c
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100dc
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010014
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 100100e4
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400310  addi $9, $9, 1
0x00400314  j 0x00400264
0x00400264  beq $9, $8, 180
0x00400268  ori $10, $0, 2
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 10010028
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100e8
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010020
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 100100f0
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 1001002c
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100ec
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010024
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 100100f4
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400310  addi $9, $9, 1
0x00400314  j 0x00400264
0x00400264  beq $9, $8, 180
0x00400268  ori $10, $0, 2
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 10010038
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100f8
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010030
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 10010100
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400270  add $11, $9, $9
0x00400274  add $11, $11, $11
0x00400278  add $11, $11, $11
0x0040027c  add $11, $11, $11
0x00400280  add $12, $10, $10
0x00400284  add $12, $12, $12
0x00400288  add $11, $11, $12
0x0040028c  add $11, $11, $4
0x00400290  lw $13, 0($11): 1001003c
0x00400294  add $11, $9, $9
0x00400298  add $11, $11, $11
0x0040029c  add $11, $11, $11
0x004002a0  add $11, $11, $11
0x004002a4  addi $14, $10, -2
0x004002a8  add $12, $14, $14
0x004002ac  add $12, $12, $12
0x004002b0  add $11, $11, $12
0x004002b4  add $11, $11, $5
0x004002b8  sw $13, 0($11): 100100fc
0x004002bc  add $11, $9, $9
0x004002c0  add $11, $11, $11
0x004002c4  add $11, $11, $11
0x004002c8  add $11, $11, $11
0x004002cc  addi $14, $10, -2
0x004002d0  add $12, $14, $14
0x004002d4  add $12, $12, $12
0x004002d8  add $11, $11, $12
0x004002dc  add $11, $11, $4
0x004002e0  lw $13, 0($11): 10010034
0x004002e4  add $11, $9, $9
0x004002e8  add $11, $11, $11
0x004002ec  add $11, $11, $11
0x004002f0  add $11, $11, $11
0x004002f4  add $12, $10, $10
0x004002f8  add $12, $12, $12
0x004002fc  add $11, $11, $12
0x00400300  add $11, $11, $5
0x00400304  sw $13, 0($11): 10010104
0x00400308  addi $10, $10, 1
0x0040030c  j 0x0040026c
0x0040026c  beq $10, $8, 164
0x00400310  addi $9, $9, 1
0x00400314  j 0x00400264
0x00400264  beq $9, $8, 180
0x00400318  jr $31
0x00400040  lui $1, 4097
0x00400044  ori $5, $1, 200
0x00400048  lui $1, 4097
0x0040004c  ori $4, $1, 100
0x00400050  lui $1, 4097
0x00400054  ori $6, $1, 300
0x00400058  ori $7, $0, 5
0x0040005c  jal 0x00400094
0x00400094  addi $29, $29, -24
0x00400098  sw $31, 0($29): 7fffef2c
0x0040009c  sw $4, 4($29): 7fffef30
0x004000a0  sw $5, 8($29): 7fffef34
0x004000a4  sw $16, 12($29): 7fffef38
0x004000a8  sw $17, 16($29): 7fffef3c
0x004000ac  sw $18, 20($29): 7fffef40
0x004000b0  add $16, $0, $0
0x004000b4  beq $16, $7, 240
0x004000b8  add $17, $0, $0
0x004000bc  beq $17, $7, 224
0x004000c0  add $18, $0, $0
0x004000c4  beq $18, $7, 208
0x004000c8  addu $4, $0, $16
0x004000cc  addu $5, $0, $7
0x004000d0  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x004000d4  addu $4, $0, $2
0x004000d8  ori $5, $0, 4
0x004000dc  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x004000e0  addu $11, $0, $2
0x004000e4  addu $4, $0, $18
0x004000e8  ori $5, $0, 4
0x004000ec  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x004000f0  add $11, $11, $2
0x004000f4  lw $4, 4($29): 7fffef30
0x004000f8  add $11, $11, $4
0x004000fc  lw $11, 0($11): 10010064
0x00400100  addu $4, $0, $18
0x00400104  addu $5, $0, $7
0x00400108  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x0040010c  addu $4, $0, $2
0x00400110  ori $5, $0, 4
0x00400114  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400118  addu $12, $0, $2
0x0040011c  addu $4, $0, $17
0x00400120  ori $5, $0, 4
0x00400124  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400128  add $12, $12, $2
0x0040012c  lw $5, 8($29): 7fffef34
0x00400130  add $12, $12, $5
0x00400134  lw $12, 0($12): 100100c8
0x00400138  addu $4, $0, $11
0x0040013c  addu $5, $0, $12
0x00400140  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400144  addu $15, $0, $2
0x00400148  addu $4, $0, $16
0x0040014c  addu $5, $0, $7
0x00400150  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400154  addu $4, $0, $2
0x00400158  ori $5, $0, 4
0x0040015c  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400160  addu $13, $0, $2
0x00400164  addu $4, $0, $17
0x00400168  ori $5, $0, 4
0x0040016c  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400170  add $13, $13, $2
0x00400174  add $13, $13, $6
0x00400178  lw $14, 0($13): 1001012c
0x0040017c  add $14, $14, $15
0x00400180  sw $14, 0($13): 1001012c
0x00400184  lw $4, 4($29): 7fffef30
0x00400188  lw $5, 8($29): 7fffef34
0x0040018c  addi $18, $18, 1
0x00400190  j 0x004000c4
0x004000c4  beq $18, $7, 208
0x004000c8  addu $4, $0, $16
0x004000cc  addu $5, $0, $7
0x004000d0  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x004000d4  addu $4, $0, $2
0x004000d8  ori $5, $0, 4
0x004000dc  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x004000e0  addu $11, $0, $2
0x004000e4  addu $4, $0, $18
0x004000e8  ori $5, $0, 4
0x004000ec  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x004000f0  add $11, $11, $2
0x004000f4  lw $4, 4($29): 7fffef30
0x004000f8  add $11, $11, $4
0x004000fc  lw $11, 0($11): 10010068
0x00400100  addu $4, $0, $18
0x00400104  addu $5, $0, $7
0x00400108  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x0040010c  addu $4, $0, $2
0x00400110  ori $5, $0, 4
0x00400114  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400118  addu $12, $0, $2
0x0040011c  addu $4, $0, $17
0x00400120  ori $5, $0, 4
0x00400124  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x0040008c  add $2, $8, $0
0x00400090  jr $31
0x00400128  add $12, $12, $2
0x0040012c  lw $5, 8($29): 7fffef34
0x00400130  add $12, $12, $5
0x00400134  lw $12, 0($12): 100100dc
0x00400138  addu $4, $0, $11
0x0040013c  addu $5, $0, $12
0x00400140  jal 0x00400078
0x00400078  add $8, $0, $0
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
0x00400084  addi $5, $5, -1
0x00400088  j 0x0040007c
0x0040007c  beq $5, $0, 16
0x00400080  add $8, $8, $4
